productName,brand,price,thcContent,cbdContent,category,rating,reviewCount,dispensaryCount,market,searchQuery,url,image
Violet Sky: Pre-Roll (1g) – Khalifa Kush,,12.00,,,,4.0,5,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/brandproduct-11145-b4c50de4-27ac-430d-b396-18e3687e32a7,
Baby Turtle Pre-roll,,13.00,,,,4.5,2,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/brandproduct-11145-ed2861cd-b315-4e28-9f7b-b2b279a4925d,
Smokiez HYBRID Watermelon Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,16.80,100mg,10mg,GUMMIES,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-hybrid-watermelon-fruit-chews-100mg-10pk-wa,
Smokiez Edibles Watermelon Fruit Chews 100 Mg Thc Nv,Smokiez Edibles,20.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-watermelon-fruit-chews-100-mg-thc-nv,
Smokiez HYBRID Sour Green Apple Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,25.00,100mg,10mg,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-hybrid-sour-green-apple-fruit-chews-100mg-10pk-wa,
CBD Original | Critical Mass | Indica | 1:1 | 1g | DOH,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbd-original-critical-mass-indica-1-1-1g-doh,
Smokiez Edibles Smokiez Sour Jamberry 100mg Cbn 100mg Thc Fruit Chews Wa,Smokiez Edibles,25.00,100mg,,GUMMIES,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-sour-jamberry-100mg-cbn-100mg-thc-fruit-chews-wa,
Raspberry Sativa Enhanced Gummies | 100mg | 10pk,WYLD,25.00,10mg,,GUMMIES,5.0,9,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-02489546-f046-4f4c-9c96-785b2dfa572b,
Oreo Blizzy - Legacy,,40.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/freddy-s-fuego/products/freddy-s-fuego-oreo-blizzy,
CBG RSO Original | Jack Frost CBG | 1g | DOH+,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbg-original-jack-frost-cbg-1g-doh,
CBN RSO Original | Purple Cadillac CBN | Hybrid | 3 x 1g,,136.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbn-rso-original-purple-cadillac-cbn-hybrid-3-x-1g,
THC RSO Original | Blue Dream | Sativa | 1g,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-blue-dream-sativa-1g-6f544938-4b63-4638-b5fc-730b71c387f6,
Sherb Crasher - Legacy,,35.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/freddy-s-fuego/products/freddy-s-fuego-sherb-crasher,
Smokiez Edibles Sour Passion Fruit Sativa 100mg Thc Live Resin Fruit Chews Wa,Smokiez Edibles,25.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-passion-fruit-sativa-100mg-thc-live-resin-fruit-chews-wa,
Lyon King - Flagship,,36.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/freddy-s-fuego/products/freddy-s-fuego-lyon-king,
CBN Platinum Distillate | Purple Cadillac CBN | Hybrid | 1g,,27.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbn-platinum-distillate-purple-cadillac-cbn-hybrid-1g,
CBD Original | Harley Tsu | Hybrid | 3:1 | 1g,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbd-original-harley-tsu-hybrid-3-1-1g,
THC Platinum Distillate | Tahoe OG | Hybrid | 1g,,27.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-platinum-distillate-tahoe-og-hybrid-1g,
THC RSO Original | Cherry OG | Hybrid | 7 x 1g,,136.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-cherry-og-hybrid-7-x-1g,
"Wild Mint Salve | CBD MJ | Mixed | CBD, THC, CBG | 3oz",Skagit Organics,68.00,100mg,2000mg,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbd-mj-mixed-cbd-thc-cbg-3oz,
CBD RSO Original | Harlequin 5:1 | Sativa | 7 x 1g,,136.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbd-rso-original-harlequin-5-1-sativa-7-x-1g,
RSO Original | Wavy Blue | Hybrid | 3 x 1g | DOH,,136.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-rso-original-wavy-blue-hybrid-3-x-1g-doh,
THC RSO Original | Cake Crasher | Sativa | 3 x 1g,,136.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-cake-crasher-sativa-3-x-1g,
Ray S Lemonade Solventless Raspberry Lil Rays 100mg Thc,Ray's Lemonade,15.00,100mg,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/ray-s-lemonade/products/ray-s-lemonade-solventless-raspberry-lil-rays-100mg-thc,
Ray S Lemonade Solventless Tiger S Blood Lil Rays 100mg Thc,Ray's Lemonade,15.00,100mg,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/ray-s-lemonade/products/ray-s-lemonade-solventless-tiger-s-blood-lil-rays-100mg-thc,
Smokiez INDICA Sour Blue Raspberry Fruit Chews - 100mg,Smokiez Edibles,25.00,10mg,,GUMMIES,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-2b049505-9da4-492d-a496-442306cf164f,
Peach CBD Fruit Chews - 250 mg - WA,Smokiez Edibles,30.00,,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-peach-delta-8-1-1-thc-fruit-chews-100-mg-wa,
Ray S Lemonade Tiger S Blood 100mg Thc,Ray's Lemonade,20.00,100mg,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/ray-s-lemonade/products/ray-s-lemonade-tiger-s-blood-100mg-thc,
